year,level_1,level_2,value
2015,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),35
2015,Male Arrested For Serious Hurt,Above 21 Years Old,363
2015,Male Arrested For Serious Hurt,21 Years Old And Below,50
2015,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),31
2015,Female Arrested For Serious Hurt,Above 21 Years Old,43
2015,Female Arrested For Serious Hurt,21 Years Old And Below,4
2015,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),4
2015,Total Persons Arrested For Cheating & Related,Above 21 Years Old,1802
2015,Total Persons Arrested For Cheating & Related,21 Years Old And Below,268
2015,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),166
2015,Male Arrested For Cheating & Related,Above 21 Years Old,1263
2015,Male Arrested For Cheating & Related,21 Years Old And Below,167
2015,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),101
2015,Female Arrested For Cheating & Related,Above 21 Years Old,539
2015,Female Arrested For Cheating & Related,21 Years Old And Below,101
2015,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),65
2016,Total Persons Arrested For Murder,Above 21 Years Old,41
2016,Total Persons Arrested For Murder,21 Years Old And Below,2
2016,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),0
2016,Male Arrested For Murder,Above 21 Years Old,36
2016,Male Arrested For Murder,21 Years Old And Below,1
2016,Male Arrested For Murder,Youths (7 To 19 Years Old),0
2016,Female Arrested For Murder,Above 21 Years Old,5
2016,Female Arrested For Murder,21 Years Old And Below,1
2016,Female Arrested For Murder,Youths (7 To 19 Years Old),0
2016,Total Persons Arrested For Rape,Above 21 Years Old,47
2016,Total Persons Arrested For Rape,21 Years Old And Below,44
2016,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),39
2016,Male Arrested For Rape,Above 21 Years Old,47
2016,Male Arrested For Rape,21 Years Old And Below,44
2016,Male Arrested For Rape,Youths (7 To 19 Years Old),39
2016,Female Arrested For Rape,Above 21 Years Old,0
2016,Female Arrested For Rape,21 Years Old And Below,0
2016,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2016,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,783
2016,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,89
2016,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),70
2016,Male Arrested For Outrage Of Modesty,Above 21 Years Old,776
2016,Male Arrested For Outrage Of Modesty,21 Years Old And Below,88
2016,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),69
2016,Female Arrested For Outrage Of Modesty,Above 21 Years Old,7
2016,Female Arrested For Outrage Of Modesty,21 Years Old And Below,1
2016,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),1
2016,Total Persons Arrested For Robbery,Above 21 Years Old,85
2016,Total Persons Arrested For Robbery,21 Years Old And Below,23
2016,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),15
2016,Male Arrested For Robbery,Above 21 Years Old,81
2016,Male Arrested For Robbery,21 Years Old And Below,23
2016,Male Arrested For Robbery,Youths (7 To 19 Years Old),15
2016,Female Arrested For Robbery,Above 21 Years Old,4
2016,Female Arrested For Robbery,21 Years Old And Below,0
2016,Female Arrested For Robbery,Youths (7 To 19 Years Old),0
2016,Total Persons Arrested For Housebreaking,Above 21 Years Old,103
2016,Total Persons Arrested For Housebreaking,21 Years Old And Below,63
2016,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),59
2016,Male Arrested For Housebreaking,Above 21 Years Old,100
2016,Male Arrested For Housebreaking,21 Years Old And Below,59
2016,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),57
2016,Female Arrested For Housebreaking,Above 21 Years Old,3
2016,Female Arrested For Housebreaking,21 Years Old And Below,4
2016,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),2
2016,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,50
2016,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,35
2016,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),25
2016,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,48
2016,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,34
2016,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),24
2016,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,2
2016,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,1
2016,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),1
2016,Total Persons Arrested For Snatch Theft,Above 21 Years Old,29
2016,Total Persons Arrested For Snatch Theft,21 Years Old And Below,9
2016,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),5
2016,Male Arrested For Snatch Theft,Above 21 Years Old,29
2016,Male Arrested For Snatch Theft,21 Years Old And Below,9
2016,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),5
2016,Female Arrested For Snatch Theft,Above 21 Years Old,0
2016,Female Arrested For Snatch Theft,21 Years Old And Below,0
2016,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),0
2016,Total Persons Arrested For Rioting,Above 21 Years Old,297
2016,Total Persons Arrested For Rioting,21 Years Old And Below,245
2016,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),202
2016,Male Arrested For Rioting,Above 21 Years Old,290
2016,Male Arrested For Rioting,21 Years Old And Below,198
2016,Male Arrested For Rioting,Youths (7 To 19 Years Old),160
2016,Female Arrested For Rioting,Above 21 Years Old,7
2016,Female Arrested For Rioting,21 Years Old And Below,47
2016,Female Arrested For Rioting,Youths (7 To 19 Years Old),42
2016,Total Persons Arrested For Serious Hurt,Above 21 Years Old,393
2016,Total Persons Arrested For Serious Hurt,21 Years Old And Below,87
2016,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),58
2016,Male Arrested For Serious Hurt,Above 21 Years Old,345
2016,Male Arrested For Serious Hurt,21 Years Old And Below,78
2016,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),52
2016,Female Arrested For Serious Hurt,Above 21 Years Old,48
2016,Female Arrested For Serious Hurt,21 Years Old And Below,9
2016,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),6
2016,Total Persons Arrested For Cheating & Related,Above 21 Years Old,1786
2016,Total Persons Arrested For Cheating & Related,21 Years Old And Below,257
2016,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),143
2016,Male Arrested For Cheating & Related,Above 21 Years Old,1237
2016,Male Arrested For Cheating & Related,21 Years Old And Below,162
2016,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),91
2016,Female Arrested For Cheating & Related,Above 21 Years Old,549
2016,Female Arrested For Cheating & Related,21 Years Old And Below,95
2016,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),52
2017,Total Persons Arrested For Murder,Above 21 Years Old,12
2017,Total Persons Arrested For Murder,21 Years Old And Below,2
2017,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),1
2017,Male Arrested For Murder,Above 21 Years Old,11
2017,Male Arrested For Murder,21 Years Old And Below,2
2017,Male Arrested For Murder,Youths (7 To 19 Years Old),1
2017,Female Arrested For Murder,Above 21 Years Old,1
2017,Female Arrested For Murder,21 Years Old And Below,0
2017,Female Arrested For Murder,Youths (7 To 19 Years Old),0
2017,Total Persons Arrested For Rape,Above 21 Years Old,64
2017,Total Persons Arrested For Rape,21 Years Old And Below,24
2017,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),20
2017,Male Arrested For Rape,Above 21 Years Old,64
2017,Male Arrested For Rape,21 Years Old And Below,24
2017,Male Arrested For Rape,Youths (7 To 19 Years Old),20
2017,Female Arrested For Rape,Above 21 Years Old,0
2017,Female Arrested For Rape,21 Years Old And Below,0
2017,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2017,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,872
2017,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,103
2017,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),76
2017,Male Arrested For Outrage Of Modesty,Above 21 Years Old,863
2017,Male Arrested For Outrage Of Modesty,21 Years Old And Below,101
2017,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),74
2017,Female Arrested For Outrage Of Modesty,Above 21 Years Old,9
2017,Female Arrested For Outrage Of Modesty,21 Years Old And Below,2
2017,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),2
2017,Total Persons Arrested For Robbery,Above 21 Years Old,69
2017,Total Persons Arrested For Robbery,21 Years Old And Below,24
2017,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),20
2017,Male Arrested For Robbery,Above 21 Years Old,64
2017,Male Arrested For Robbery,21 Years Old And Below,22
2017,Male Arrested For Robbery,Youths (7 To 19 Years Old),18
2017,Female Arrested For Robbery,Above 21 Years Old,5
2017,Female Arrested For Robbery,21 Years Old And Below,2
2017,Female Arrested For Robbery,Youths (7 To 19 Years Old),2
2017,Total Persons Arrested For Housebreaking,Above 21 Years Old,95
2017,Total Persons Arrested For Housebreaking,21 Years Old And Below,62
2017,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),55
2017,Male Arrested For Housebreaking,Above 21 Years Old,88
2017,Male Arrested For Housebreaking,21 Years Old And Below,55
2017,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),48
2017,Female Arrested For Housebreaking,Above 21 Years Old,7
2017,Female Arrested For Housebreaking,21 Years Old And Below,7
2017,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),7
2017,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,54
2017,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,55
2017,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),46
2017,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,52
2017,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,50
2017,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),42
2017,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,2
2017,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,5
2017,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),4
2017,Total Persons Arrested For Snatch Theft,Above 21 Years Old,34
2017,Total Persons Arrested For Snatch Theft,21 Years Old And Below,12
2017,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),9
2017,Male Arrested For Snatch Theft,Above 21 Years Old,32
2017,Male Arrested For Snatch Theft,21 Years Old And Below,9
2017,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),6
2017,Female Arrested For Snatch Theft,Above 21 Years Old,2
2017,Female Arrested For Snatch Theft,21 Years Old And Below,3
2017,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),3
2017,Total Persons Arrested For Rioting,Above 21 Years Old,255
2017,Total Persons Arrested For Rioting,21 Years Old And Below,184
2017,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),152
2017,Male Arrested For Rioting,Above 21 Years Old,245
2017,Male Arrested For Rioting,21 Years Old And Below,172
2017,Male Arrested For Rioting,Youths (7 To 19 Years Old),142
2017,Female Arrested For Rioting,Above 21 Years Old,10
2017,Female Arrested For Rioting,21 Years Old And Below,12
2017,Female Arrested For Rioting,Youths (7 To 19 Years Old),10
2017,Total Persons Arrested For Serious Hurt,Above 21 Years Old,343
2017,Total Persons Arrested For Serious Hurt,21 Years Old And Below,51
2017,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),27
2017,Male Arrested For Serious Hurt,Above 21 Years Old,302
2017,Male Arrested For Serious Hurt,21 Years Old And Below,42
2017,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),24
2017,Female Arrested For Serious Hurt,Above 21 Years Old,41
2017,Female Arrested For Serious Hurt,21 Years Old And Below,9
2017,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),3
2017,Total Persons Arrested For Cheating & Related,Above 21 Years Old,2049
2017,Total Persons Arrested For Cheating & Related,21 Years Old And Below,351
2017,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),233
2017,Male Arrested For Cheating & Related,Above 21 Years Old,1444
2017,Male Arrested For Cheating & Related,21 Years Old And Below,228
2017,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),146
2017,Female Arrested For Cheating & Related,Above 21 Years Old,605
2017,Female Arrested For Cheating & Related,21 Years Old And Below,123
2017,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),87
2018,Total Persons Arrested For Murder,Above 21 Years Old,8
2018,Total Persons Arrested For Murder,21 Years Old And Below,1
2018,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),0
2018,Male Arrested For Murder,Above 21 Years Old,7
2018,Male Arrested For Murder,21 Years Old And Below,0
2018,Male Arrested For Murder,Youths (7 To 19 Years Old),0
2018,Female Arrested For Murder,Above 21 Years Old,1
2018,Female Arrested For Murder,21 Years Old And Below,1
2018,Female Arrested For Murder,Youths (7 To 19 Years Old),0
2018,Total Persons Arrested For Rape,Above 21 Years Old,116
2018,Total Persons Arrested For Rape,21 Years Old And Below,56
2018,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),48
2018,Male Arrested For Rape,Above 21 Years Old,116
2018,Male Arrested For Rape,21 Years Old And Below,56
2018,Male Arrested For Rape,Youths (7 To 19 Years Old),48
2018,Female Arrested For Rape,Above 21 Years Old,0
2018,Female Arrested For Rape,21 Years Old And Below,0
2018,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2018,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,978
2018,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,144
2018,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),103
2018,Male Arrested For Outrage Of Modesty,Above 21 Years Old,969
2018,Male Arrested For Outrage Of Modesty,21 Years Old And Below,143
2018,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),102
2018,Female Arrested For Outrage Of Modesty,Above 21 Years Old,9
2018,Female Arrested For Outrage Of Modesty,21 Years Old And Below,1
2018,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),1
2018,Total Persons Arrested For Robbery,Above 21 Years Old,77
2018,Total Persons Arrested For Robbery,21 Years Old And Below,22
2018,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),17
2018,Male Arrested For Robbery,Above 21 Years Old,73
2018,Male Arrested For Robbery,21 Years Old And Below,21
2018,Male Arrested For Robbery,Youths (7 To 19 Years Old),17
2018,Female Arrested For Robbery,Above 21 Years Old,4
2018,Female Arrested For Robbery,21 Years Old And Below,1
2018,Female Arrested For Robbery,Youths (7 To 19 Years Old),0
2018,Total Persons Arrested For Housebreaking,Above 21 Years Old,96
2018,Total Persons Arrested For Housebreaking,21 Years Old And Below,80
2018,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),72
2018,Male Arrested For Housebreaking,Above 21 Years Old,86
2018,Male Arrested For Housebreaking,21 Years Old And Below,75
2018,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),67
2018,Female Arrested For Housebreaking,Above 21 Years Old,10
2018,Female Arrested For Housebreaking,21 Years Old And Below,5
2018,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),5
2018,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,35
2018,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,38
2018,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),35
2018,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,34
2018,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,36
2018,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),33
2018,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,1
2018,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,2
2018,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),2
2018,Total Persons Arrested For Snatch Theft,Above 21 Years Old,25
2018,Total Persons Arrested For Snatch Theft,21 Years Old And Below,10
2018,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),8
2018,Male Arrested For Snatch Theft,Above 21 Years Old,23
2018,Male Arrested For Snatch Theft,21 Years Old And Below,9
2018,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),7
2018,Female Arrested For Snatch Theft,Above 21 Years Old,2
2018,Female Arrested For Snatch Theft,21 Years Old And Below,1
2018,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),1
2018,Total Persons Arrested For Rioting,Above 21 Years Old,182
2018,Total Persons Arrested For Rioting,21 Years Old And Below,199
2018,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),151
2018,Male Arrested For Rioting,Above 21 Years Old,177
2018,Male Arrested For Rioting,21 Years Old And Below,184
2018,Male Arrested For Rioting,Youths (7 To 19 Years Old),137
2018,Female Arrested For Rioting,Above 21 Years Old,5
2018,Female Arrested For Rioting,21 Years Old And Below,15
2018,Female Arrested For Rioting,Youths (7 To 19 Years Old),14
2018,Total Persons Arrested For Serious Hurt,Above 21 Years Old,352
2018,Total Persons Arrested For Serious Hurt,21 Years Old And Below,59
2018,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),34
2018,Male Arrested For Serious Hurt,Above 21 Years Old,310
2018,Male Arrested For Serious Hurt,21 Years Old And Below,46
2018,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),25
2018,Female Arrested For Serious Hurt,Above 21 Years Old,42
2018,Female Arrested For Serious Hurt,21 Years Old And Below,13
2018,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),9
2018,Total Persons Arrested For Cheating & Related,Above 21 Years Old,2396
2018,Total Persons Arrested For Cheating & Related,21 Years Old And Below,351
2018,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),234
2018,Male Arrested For Cheating & Related,Above 21 Years Old,1628
2018,Male Arrested For Cheating & Related,21 Years Old And Below,237
2018,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),153
2018,Female Arrested For Cheating & Related,Above 21 Years Old,768
2018,Female Arrested For Cheating & Related,21 Years Old And Below,114
2018,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),81
2019,Total Persons Arrested For Murder,Above 21 Years Old,27
2019,Total Persons Arrested For Murder,21 Years Old And Below,1
2019,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),1
2019,Male Arrested For Murder,Above 21 Years Old,21
2019,Male Arrested For Murder,21 Years Old And Below,0
2019,Male Arrested For Murder,Youths (7 To 19 Years Old),0
2019,Female Arrested For Murder,Above 21 Years Old,6
2019,Female Arrested For Murder,21 Years Old And Below,1
2019,Female Arrested For Murder,Youths (7 To 19 Years Old),1
2019,Total Persons Arrested For Rape,Above 21 Years Old,113
2019,Total Persons Arrested For Rape,21 Years Old And Below,58
2019,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),43
2019,Male Arrested For Rape,Above 21 Years Old,113
2019,Male Arrested For Rape,21 Years Old And Below,58
2019,Male Arrested For Rape,Youths (7 To 19 Years Old),43
2019,Female Arrested For Rape,Above 21 Years Old,0
2019,Female Arrested For Rape,21 Years Old And Below,0
2019,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2019,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,977
2019,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,100
2019,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),78
2019,Male Arrested For Outrage Of Modesty,Above 21 Years Old,967
2019,Male Arrested For Outrage Of Modesty,21 Years Old And Below,99
2019,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),77
2019,Female Arrested For Outrage Of Modesty,Above 21 Years Old,10
2019,Female Arrested For Outrage Of Modesty,21 Years Old And Below,1
2019,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),1
2019,Total Persons Arrested For Robbery,Above 21 Years Old,82
2019,Total Persons Arrested For Robbery,21 Years Old And Below,23
2019,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),17
2019,Male Arrested For Robbery,Above 21 Years Old,77
2019,Male Arrested For Robbery,21 Years Old And Below,23
2019,Male Arrested For Robbery,Youths (7 To 19 Years Old),17
2019,Female Arrested For Robbery,Above 21 Years Old,5
2019,Female Arrested For Robbery,21 Years Old And Below,0
2019,Female Arrested For Robbery,Youths (7 To 19 Years Old),0
2019,Total Persons Arrested For Housebreaking,Above 21 Years Old,114
2019,Total Persons Arrested For Housebreaking,21 Years Old And Below,30
2019,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),27
2019,Male Arrested For Housebreaking,Above 21 Years Old,108
2019,Male Arrested For Housebreaking,21 Years Old And Below,25
2019,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),22
2019,Female Arrested For Housebreaking,Above 21 Years Old,6
2019,Female Arrested For Housebreaking,21 Years Old And Below,5
2019,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),5
2019,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,42
2019,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,22
2019,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),20
2019,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,40
2019,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,21
2019,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),19
2019,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,2
2019,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,1
2019,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),1
2019,Total Persons Arrested For Snatch Theft,Above 21 Years Old,28
2019,Total Persons Arrested For Snatch Theft,21 Years Old And Below,2
2019,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),0
2019,Male Arrested For Snatch Theft,Above 21 Years Old,27
2019,Male Arrested For Snatch Theft,21 Years Old And Below,2
2019,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),0
2019,Female Arrested For Snatch Theft,Above 21 Years Old,1
2019,Female Arrested For Snatch Theft,21 Years Old And Below,0
2019,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),0
2019,Total Persons Arrested For Rioting,Above 21 Years Old,195
2019,Total Persons Arrested For Rioting,21 Years Old And Below,200
2019,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),153
2019,Male Arrested For Rioting,Above 21 Years Old,195
2019,Male Arrested For Rioting,21 Years Old And Below,183
2019,Male Arrested For Rioting,Youths (7 To 19 Years Old),138
2019,Female Arrested For Rioting,Above 21 Years Old,0
2019,Female Arrested For Rioting,21 Years Old And Below,17
2019,Female Arrested For Rioting,Youths (7 To 19 Years Old),15
2019,Total Persons Arrested For Serious Hurt,Above 21 Years Old,385
2019,Total Persons Arrested For Serious Hurt,21 Years Old And Below,58
2019,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),36
2019,Male Arrested For Serious Hurt,Above 21 Years Old,343
2019,Male Arrested For Serious Hurt,21 Years Old And Below,48
2019,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),26
2019,Female Arrested For Serious Hurt,Above 21 Years Old,42
2019,Female Arrested For Serious Hurt,21 Years Old And Below,10
2019,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),10
2019,Total Persons Arrested For Cheating & Related,Above 21 Years Old,2283
2019,Total Persons Arrested For Cheating & Related,21 Years Old And Below,332
2019,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),212
2019,Male Arrested For Cheating & Related,Above 21 Years Old,1615
2019,Male Arrested For Cheating & Related,21 Years Old And Below,214
2019,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),141
2019,Female Arrested For Cheating & Related,Above 21 Years Old,668
2019,Female Arrested For Cheating & Related,21 Years Old And Below,118
2019,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),71
