year,level_1,level_2,value
2011,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),110
2011,Female Arrested For Cheating & Related,Above 21 Years Old,373
2011,Female Arrested For Cheating & Related,21 Years Old And Below,103
2011,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),63
2012,Total Persons Arrested For Murder,Above 21 Years Old,15
2012,Total Persons Arrested For Murder,21 Years Old And Below,1
2012,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),0
2012,Male Arrested For Murder,Above 21 Years Old,15
2012,Male Arrested For Murder,21 Years Old And Below,1
2012,Male Arrested For Murder,Youths (7 To 19 Years Old),0
2012,Female Arrested For Murder,Above 21 Years Old,0
2012,Female Arrested For Murder,21 Years Old And Below,0
2012,Female Arrested For Murder,Youths (7 To 19 Years Old),0
2012,Total Persons Arrested For Rape,Above 21 Years Old,42
2012,Total Persons Arrested For Rape,21 Years Old And Below,37
2012,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),33
2012,Male Arrested For Rape,Above 21 Years Old,42
2012,Male Arrested For Rape,21 Years Old And Below,37
2012,Male Arrested For Rape,Youths (7 To 19 Years Old),33
2012,Female Arrested For Rape,Above 21 Years Old,0
2012,Female Arrested For Rape,21 Years Old And Below,0
2012,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2012,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,705
2012,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,111
2012,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),68
2012,Male Arrested For Outrage Of Modesty,Above 21 Years Old,702
2012,Male Arrested For Outrage Of Modesty,21 Years Old And Below,108
2012,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),65
2012,Female Arrested For Outrage Of Modesty,Above 21 Years Old,3
2012,Female Arrested For Outrage Of Modesty,21 Years Old And Below,3
2012,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),3
2012,Total Persons Arrested For Robbery,Above 21 Years Old,151
2012,Total Persons Arrested For Robbery,21 Years Old And Below,125
2012,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),106
2012,Male Arrested For Robbery,Above 21 Years Old,142
2012,Male Arrested For Robbery,21 Years Old And Below,115
2012,Male Arrested For Robbery,Youths (7 To 19 Years Old),98
2012,Female Arrested For Robbery,Above 21 Years Old,9
2012,Female Arrested For Robbery,21 Years Old And Below,10
2012,Female Arrested For Robbery,Youths (7 To 19 Years Old),8
2012,Total Persons Arrested For Housebreaking,Above 21 Years Old,149
2012,Total Persons Arrested For Housebreaking,21 Years Old And Below,88
2012,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),70
2012,Male Arrested For Housebreaking,Above 21 Years Old,140
2012,Male Arrested For Housebreaking,21 Years Old And Below,78
2012,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),61
2012,Female Arrested For Housebreaking,Above 21 Years Old,9
2012,Female Arrested For Housebreaking,21 Years Old And Below,10
2012,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),9
2012,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,62
2012,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,78
2012,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),65
2012,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,59
2012,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,74
2012,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),62
2012,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,3
2012,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,4
2012,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),3
2012,Total Persons Arrested For Snatch Theft,Above 21 Years Old,57
2012,Total Persons Arrested For Snatch Theft,21 Years Old And Below,25
2012,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),15
2012,Male Arrested For Snatch Theft,Above 21 Years Old,54
2012,Male Arrested For Snatch Theft,21 Years Old And Below,24
2012,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),14
2012,Female Arrested For Snatch Theft,Above 21 Years Old,3
2012,Female Arrested For Snatch Theft,21 Years Old And Below,1
2012,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),1
2012,Total Persons Arrested For Rioting,Above 21 Years Old,298
2012,Total Persons Arrested For Rioting,21 Years Old And Below,296
2012,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),239
2012,Male Arrested For Rioting,Above 21 Years Old,277
2012,Male Arrested For Rioting,21 Years Old And Below,277
2012,Male Arrested For Rioting,Youths (7 To 19 Years Old),223
